Ticker Symbol,Company Name,Annoucement Date,For Quarter Ended In,Estimated EPS,Actual EPS,Surprise,Surprise %
SYF,Synchrony Financial,18-Oct-19,19-Sep,1.12,1.22,0.1,8.9
ETR,Entergy Corp.,30-Oct-19,19-Sep,2.31,2.52,0.21,9
IP,International Paper,31-Oct-19,19-Sep,1,1.09,0.09,9
NBL,Noble Energy Inc,7-Nov-19,19-Sep,-0.11,-0.1,0.01,9
APH,Amphenol Corp,23-Oct-19,19-Sep,0.87,0.95,0.08,9.2
KSU,Kansas City Southern,18-Oct-19,19-Sep,1.77,1.94,0.17,9.6
PWR,Quanta Services Inc.,31-Oct-19,19-Sep,1.04,1.14,0.1,9.6
VLO,Valero Energy,24-Oct-19,19-Sep,1.35,1.48,0.13,9.6
AEP,American Electric Power,24-Oct-19,19-Sep,1.33,1.46,0.13,9.7
IDXX,IDEXX Laboratories,31-Oct-19,19-Sep,1.13,1.24,0.11,9.7
PHM,PulteGroup,22-Oct-19,19-Sep,0.92,1.01,0.09,9.7
HUM,Humana Inc.,6-Nov-19,19-Sep,4.58,5.03,0.45,9.8
JPM,JPMorgan Chase & Co.,15-Oct-19,19-Sep,2.44,2.68,0.24,9.8
QCOM,QUALCOMM Inc.,6-Nov-19,19-Sep,0.71,0.78,0.07,9.8
GLW,Corning Inc.,29-Oct-19,19-Sep,0.4,0.44,0.04,10
MS,Morgan Stanley,17-Oct-19,19-Sep,1.1,1.21,0.11,10
CPRT,Copart Inc,20-Nov-19,19-Oct,0.59,0.65,0.06,10.1
ANET,Arista Networks,31-Oct-19,19-Sep,2.44,2.69,0.25,10.2
CAG,Conagra Brands,26-Sep-19,19-Aug,0.39,0.43,0.04,10.2
BMY,Bristol-Myers Squibb,31-Oct-19,19-Sep,1.06,1.17,0.11,10.3
MSFT,Microsoft Corp.,23-Oct-19,19-Sep,1.25,1.38,0.13,10.4
PG,Procter & Gamble,22-Oct-19,19-Sep,1.24,1.37,0.13,10.4
ALLE,Allegion,24-Oct-19,19-Sep,1.33,1.47,0.14,10.5
TDG,TransDigm Group,19-Nov-19,19-Sep,5.08,5.62,0.54,10.6
ABMD,ABIOMED Inc,31-Oct-19,19-Sep,0.93,1.03,0.1,10.7
BIIB,Biogen Inc.,22-Oct-19,19-Sep,8.27,9.17,0.9,10.8
IR,Ingersoll-Rand PLC,28-Oct-19,19-Sep,0.37,0.41,0.04,10.8
FB,Facebook Inc.,30-Oct-19,19-Sep,1.91,2.12,0.21,10.9
CBOE,Cboe Global Markets,1-Nov-19,19-Sep,1.16,1.29,0.13,11.2
NOW,ServiceNow,23-Oct-19,19-Sep,0.89,0.99,0.1,11.2
ICE,Intercontinental Exchange,31-Oct-19,19-Sep,0.95,1.06,0.11,11.5
JKHY,Jack Henry & Associates,4-Nov-19,19-Sep,1.04,1.16,0.12,11.5
MMC,Marsh & McLennan,29-Oct-19,19-Sep,0.69,0.77,0.08,11.5
TXT,Textron Inc.,17-Oct-19,19-Sep,0.85,0.95,0.1,11.7
DISH,Dish Network,7-Nov-19,19-Sep,0.59,0.66,0.07,11.8
